"","x"
"130","RT @theblaze: .@rihanna briefly gives fan the mic during concert – She wasn't ready for what he did with the rare opportunity: https://t.co…"
"131","#AdeleSays She Won't Go To Rihanna's Concert For The Funniest Reason https://t.co/vwNHAixiLR https://t.co/ErB7zo2ru5"
"132","#AdeleSays She Won't Go To Rihanna's Concert For The Funniest Reason https://t.co/tBWyX8E3Ro https://t.co/C6LvG6zHKp"
"133","They sang ‘FourFiveSeconds’ together  Usually at a Rihanna concert, the pop star is the one who leaves.  Watch &gt;&gt;&gt; https://t.co/8J2d1iOH08"
"134","OMG, WATCH: Fan stuns Rihanna unexpectedly when she hands him the mic at her concert https://t.co/C1iRA3XrUb"
"135","@TerahJay Men you sing fine :D 
@rihanna #concert #2016"
"136","OMG, WATCH: Fan stuns Rihanna unexpectedly when she hands him the mic at her concert: I'm really crying at her... https://t.co/xSnJiq4svL"
"137","Rihanna -- Fan Steals the Show https://t.co/Dzlnmuw4lr via @TMZ"
"138","RT @RadioTimes: Here's what happened when Rihanna let a fan at her concert take the mic... https://t.co/lNS2cN8RS4 https://t.co/ND0nyNBwko"
"139","Here's what happened when Rihanna let a fan at her concert take the mic... - Radio Times https://t.co/t7hK9VtH2U"
"140","Here's what happened when Rihanna let a fan at her concert take the mic... https://t.co/lNS2cN8RS4 https://t.co/ND0nyNBwko"
"141","https://t.co/dBHF62mNx6 #TV Here's what happened when Rihanna let a fan at her concert take the mic: What a voic... https://t.co/OnBBvI4KxM"
"142","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"143","Rihanna Looked Dumbfounded With A Fan's Singing Voice During ‘Anti’ Concert https://t.co/TDY8Y5aXN7"
"144","Rihanna – Spilling Cleavage In Concert https://t.co/7HQpAbgwrJ"
"145","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"146","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"147","RT @NOWFASHION: Mr. @armani dresses @rihanna in custom made Swarovski crystal &amp; silk fringe jumpsuit for her ""Anti"" 2016 concert https://t.…"
"148","Rihanna offered her microphone to an audience member, and what happened next blew everyone away https://t.co/O77uslUstO"
"149","Rihanna Gets BLOWN AWAY By Fan's AH-Mazing Voice Singing Along During Her Concert! See Her Reaction! https://t.co/HgVYfiCubl"
"150","Rihanna offered her mic to an audience member — and what happened next blew everyone away https://t.co/sNqHih4Zo9 via @techinsider"
"151","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"152","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"153","#Rihanna fan sings from audience at concert  https://t.co/eDSWA8eYpS"
"154","#Rihanna fan sings from audience at concert  https://t.co/0ZRwgSvcLd"
"155","I'm bi-curious 4 her
Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction https://t.co/aMyJoeTqYy via @pitnb"
"156","RI is BAE <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> This Rihanna Fan Shocked Everyone When He Stole The Show At Her Concert - SELF https://t.co/VhkYbaZy4t"
"157","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"158","You Have to See Rihanna’s Priceless Reaction to Her Fan’s Amazing Voice in Concert - https://t.co/VJC7ITgPeY"
"159","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/32OAt1MUfu via @theblaze"
"160","Rihanna -- Fan Steals the Show via @TMZ https://t.co/GVgjM1xkQP"
"161","RT @glamourmag: .@Rihanna's reaction after hearing a fan's amazing voice at her concert is PRICELESS: https://t.co/zE7faC2hLZ https://t.co/…"
"162","Rihanna blown away by fan at Ohio concert https://t.co/WIA8bJ4szG"
"163","Rihanna is genuinely shocked by a fans INCREDIBLE voice at her concert https://t.co/LmMsgVAu9s"
"164","Rihanna offered her microphone to an audience member, and what happened next blew everyone awa.. #business #news https://t.co/TbcPvQMcgl"
"165","Rihanna -- Fan Steals the Show via @TMZ https://t.co/Z0rYgtG5z8"
"166","I liked a @YouTube video https://t.co/jhEZ0dYgWY Rihanna Full Concert 2016"
"167","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"168","Rihanna Fan Steals the Show https://t.co/cHw2tkO6SF"
"169","RT @kawky1: my biggest regret of 2016 is not going Rihanna's concert"
"170","Rihanna concert tickets in Baltimore 9 April 2016 https://t.co/Gk1AVHrB0z"
"171","Brilliant idea for thinking outside the box this campaign season! https://t.co/OqXjFCp40k"
"172","RT @TheSource: Watch Rihanna’s Reaction After Letting A Fan Sing Along With Her During Concert https://t.co/TBhaWqWlPQ https://t.co/uzKAxgp…"
"173","RT @Refinery29: A fan outsang Rihanna at her own damn concert: https://t.co/z2lP4gjdho https://t.co/FCXX1sAmSN"
"174","RT @MrMouthAlmighty: Love this review of Rih's concert in Charlotte.  https://t.co/znvWzsYRcH"
"175","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"176","Adele Turns Down Performing At Rihanna’s Concert, Explains Why https://t.co/2Nc6Lwq7r2"
"177","RT @DanielBice: Who's fundraising at the Rihanna concert? Hint: It's US Rep. Gwen Moore (D-Wis) https://t.co/1iQ8CWdqLF"
"178","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"179","Why in the world that I gotta work the Rihanna ANTI- World Tour concert on Saturday, March 26, 2016 at the XL... https://t.co/W6Bp50Ulu8"
"180","Rihanna Reacts To A Fan (Terah Stewart) Singing Four Five Seconds During Concert in Ohio 2016 https://t.co/8717UYSzuc #Rihanna"
"181","This Rihanna Fan Shocked Everyone When He Stole The Show At Her Concert via @SELFmagazine https://t.co/GcTYiWaL2p"
"182","RT @MrMouthAlmighty: Love this review of Rih's concert in Charlotte.  https://t.co/znvWzsYRcH"
"183","Who's fundraising at the Rihanna concert? Hint: It's US Rep. Gwen Moore (D-Wis) https://t.co/1iQ8CWdqLF"
"184","RT @MrMouthAlmighty: Love this review of Rih's concert in Charlotte.  https://t.co/znvWzsYRcH"
"185","Love this review of Rih's concert in Charlotte.  https://t.co/znvWzsYRcH"
"186","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"187","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction: Four, five seconds till ... https://t.co/lsk3O39bMA"
"188","Fan Slays “Four, Five, Seconds” During A Rihanna Concert: See Her Priceless Reaction: Four, five seconds till ... https://t.co/E08sHvoTE4"
"189","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"190","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/XJJzWviZyp via @theblaze"
"191","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"192","RT @JustJared: Rihanna gave the microphone to a fan at her concert &amp; was blown away by his voice! WATCH: https://t.co/AC8zGkymcQ https://t.…"
"193","Rihanna Concert 2016!! US Bank @rihanna   #shebad #shekilledit #bestconcertever #badgal #work… https://t.co/8j21aqepEq"
"194","Rihanna -- Fan Steals the Show https://t.co/TJyNTVziSU"
"195","Rihanna Reacts To A Fan (Terah Stewart) Singing Four Five Seconds During Concert in Ohio 2016 https://t.co/4MNjp1ps9B #Rihanna"
"196","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"197","RT @InsideWord360: .@Rihanna gives one of her fans 15 seconds of fame and a chance to wow the crowd https://t.co/nqHcypX55W"
"198",".@rihanna was stunned at her concert over the weekend when she handed the mic to one of her fans! https://t.co/cbRUKkdWqi #woah #rihanna"
"199","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/a2LGKCkhm4 https://t.co/GvgqML5BOp"
"200","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"201","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"202","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"203","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"204","Rihanna offered her microphone to an audience member — and what happened next blew everyon… https://t.co/QNMjuvEMgD https://t.co/WrifZiu1tP"
"205","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"206","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"207","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/UCWxQ7hANd #ROIMentor"
"208","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"209","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/rFmF8LzWgq"
"210","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"211","RT @PerezHilton: #Rihanna gets BLOWN AWAY by a fan's AH-mazing voice during her concert! https://t.co/TbWGNyz9vh https://t.co/ThyRuNt5f7"
"212","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/3wkev58lp3"
"213","New post: ""Rihanna offered her microphone to an audience member — and what happened next blew everyone away"" https://t.co/Mhvjp4TBCg"
"214","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mNxjnsQjeI https://t.co/Cv0M1pRLFi #BBC #N…"
"215","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"216","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/j9gx8jq2Ra"
"217","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/FpW1ZdigrC"
"218","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/1mQTzxf2Qr"
"219","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/gqTR8KTVWR via @theblaze"
"220","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/ui62dYN7Jb https://t.co/xBWLYdRprU"
"221","Rihanna Briefly Gives Fan the Mic During Concert — She Wasn't Ready for What He... https://t.co/a2h5R8LEPh via @theblaze"
"222","Rihanna offered her microphone to an audience member — and what happened next… https://t.co/nrWmvmTlU6 #makemoney https://t.co/xv8TRlBMgI"
"223","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"224","Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/2zexYqqDU3 … https://t.co/MtyZwDJXFM"
"225","RT @businessinsider: Rihanna gave her mic to an audience member — and what happened blew everyone away https://t.co/mN9Fr0dc63 https://t.co…"
"226","my biggest regret of 2016 is not going Rihanna's concert"
"227","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/inhZ7Wgajr"
"228","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/WCXAsVCWPs"
"229","#businessinsider Rihanna offered her microphone to an audience member — and what happened n... https://t.co/qyMDt5yinS #news @lancehulsey"
"230","Rihanna offered her microphone to an audience member — and what happened next blew everyone a... https://t.co/sVWDDgm0fR @businessinsider"
"231","Rihanna offered her microphone to an audience member — and what happened next blew everyone away: Getty Images... https://t.co/YXhAqA3yxg"
"232","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/BpPRj42uhI @businessinsider"
"233","Rihanna offered her microphone to an audience member — and what happened next blew everyone away https://t.co/TUlkOB99t9 @businessinsider"
